INVENT_ID,UTM_E,UTM_N,TAMBON,DISTRICT,PROVINCE,YEAR_DATA,REMARK,REMARK_2,LONGITUDE,LATITUDE
25873,664461,2151884,ยอด,สองแคว,น่าน,0, , ,100.56672808517759,19.454652244272182
25874,661053,2145706,ยอด,สองแคว,น่าน,0, , ,100.53374672619832,19.399117697211434
25875,660397,2145790,ยอด,สองแคว,น่าน,0, , ,100.52750821757432,19.399929156385927
25876,664224,2138717,ยอด,สองแคว,น่าน,0, , ,100.56333441360503,19.335722208129283
25877,663960,2138395,ยอด,สองแคว,น่าน,0, , ,100.56079430787457,19.332834799086154
25878,669203,2142461,ยอด,สองแคว,น่าน,0, , ,100.61105048880114,19.369131944932818
25879,666645,2149140,ยอด,สองแคว,น่าน,0, , ,100.58728688936066,19.429682671589585
25880,666209,2148039,ยอด,สองแคว,น่าน,0, , ,100.58303882954925,19.419772717571465
25881,666538,2148016,ยอด,สองแคว,น่าน,0, , ,100.5861694441688,19.419537603357476
25884,711459,2145753,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,101.01358628582818,19.39485963940517
25885,712286,2146006,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,101.02148585617466,19.397057269542476
25886,713102,2145545,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,101.02920094276163,19.39280714444176
25887,717871,2144872,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,101.07451341455631,19.386216663130902
25888,718777,2145325,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,101.08318794832189,19.39020925474895
25889,718883,2146081,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,101.08428373164406,19.397025344513676
25890,719569,2147587,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,101.09098670726377,19.410551389972955
25891,719666,2148867,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,101.09205794647794,19.422100720178396
25892,718154,2148320,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,101.07760220362763,19.417325900125014
25893,718400,2148319,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,101.07994373615381,19.417290059592354
